time,state,action,new_state,cost,new_state_cost,total_cost
15,"[10, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 5]",-100.0,0.0,-100.0
15,"[10, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 10]",-100.0,0.0,-100.0
15,"[10, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 15]",-100.0,0.0,-100.0
15,"[10, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 20]",-100.0,0.0,-100.0
15,"[15, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 0]",-100.0,0.0,-100.0
15,"[15, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 5]",-100.0,0.0,-100.0
15,"[15, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 10]",-100.0,0.0,-100.0
15,"[15, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 15]",-100.0,0.0,-100.0
15,"[15, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 0, 20]",-100.0,0.0,-100.0
15,"[15, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-100.0,0.0,-100.0
15,"[15, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 5]",-100.0,0.0,-100.0
15,"[15, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 10]",-100.0,0.0,-100.0
15,"[15, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 15]",-100.0,0.0,-100.0
15,"[15, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 20]",-100.0,0.0,-100.0
15,"[15, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-100.0,0.0,-100.0
15,"[15, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-100.0,0.0,-100.0
15,"[15, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 10]",-100.0,0.0,-100.0
15,"[15, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 15]",-100.0,0.0,-100.0
15,"[15, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 20]",-100.0,0.0,-100.0
15,"[15, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 0]",-100.0,0.0,-100.0
15,"[15, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 5]",-100.0,0.0,-100.0
15,"[15, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 10]",-100.0,0.0,-100.0
15,"[15, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 15]",-100.0,0.0,-100.0
15,"[15, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 20]",-100.0,0.0,-100.0
15,"[15, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[10, 20, 0]",-100.0,0.0,-100.0
15,"[15, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 20, 5]",-100.0,0.0,-100.0
15,"[15, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 20, 10]",-100.0,0.0,-100.0
15,"[15, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 20, 15]",-100.0,0.0,-100.0
15,"[15, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 20, 20]",-100.0,0.0,-100.0
15,"[20, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[15, 0, 0]",-100.0,0.0,-100.0
