time,state,action,new_state,total_cost,state_t1,action_t1,new_state_t1,cost_t1,state_t2,action_t2,new_state_t2,cost_t2,state_t3,action_t3,new_state_t3,cost_t3,state_t4,action_t4,new_state_t4,cost_t4,state_t5,action_t5,new_state_t5,cost_t5,state_t6,action_t6,new_state_t6,cost_t6,state_t7,action_t7,new_state_t7,cost_t7,state_t8,action_t8,new_state_t8,cost_t8,state_t9,action_t9,new_state_t9,cost_t9,state_t10,action_t10,new_state_t10,cost_t10,state_t11,action_t11,new_state_t11,cost_t11,state_t12,action_t12,new_state_t12,cost_t12,Total_strategy_cost
8,"[0, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-1445,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",5967.625318,"[5, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 10]",2286.472144,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-2890,"[5, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[5, 5, 10]",26296.80172,"[0, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",13163.15705,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",30605.20956,"[5, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",14938.40595,"[5, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[10, 5, 5]",39114.26322,"[5, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 5]",8162.284747,"[5, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-1445,"[5, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 5, 5]",1573.523552,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-722.5,69441.64278
8,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-1445,"[0, 0, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 10]",5967.625318,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-2167.5,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-2890,"[5, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[5, 5, 5]",26296.80172,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-1445,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",13496.35478,"[5, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",14938.40595,"[5, 0, 5]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 0]",25835.34215,"[5, 5, 0]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 0]",8162.284747,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-1445,"[5, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-722.5,"[0, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 5]",1573.523552,67180.33012
8,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-1445,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",1538.812659,"[5, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 5]",2286.472144,"[5, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",280.9728992,"[5, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[5, 5, 10]",26296.80172,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",13163.15705,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",30605.20956,"[5, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 0]",14938.40595,"[5, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 5]",25835.34215,"[5, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 5]",8162.284747,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-1445,"[5, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-722.5,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-722.5,68055.27947
8,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-1445,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",1538.812659,"[5, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 10]",2286.472144,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-2890,"[5, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 0]",11703.40086,"[0, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",13163.15705,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",30605.20956,"[5, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",14938.40595,"[5, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 10]",25835.34215,"[5, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 10]",8162.284747,"[5, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-1445,"[5, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-722.5,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-722.5,45836.93357
8,"[0, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",-1445,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",1538.812659,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-2167.5,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-2890,"[5, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 5]",11703.40086,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-1445,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",13496.35478,"[5, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",14938.40595,"[5, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 15]",25835.34215,"[5, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 15]",8162.284747,"[5, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",-1445,"[5, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",-722.5,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-722.5,45836.93357
8,"[0, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-1445,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",5967.625318,"[5, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 10]",2286.472144,"[5, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-2890,"[5, 5, 5]","[(0, 1), (5, 0), (5, 0)]","[5, 10, 10]",26296.80172,"[0, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 10]",13163.15705,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",30605.20956,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-2167.5,"[5, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 0, 5]",25835.34215,"[5, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 5]",8162.284747,"[5, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-1445,"[5, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 10, 5]",1573.523552,"[0, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-722.5,57000.98573
8,"[0, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-1445,"[0, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",5967.625318,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-2167.5,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-2890,"[5, 5, 0]","[(0, 1), (5, 0), (5, 0)]","[5, 10, 5]",26296.80172,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-1445,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",13496.35478,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-2167.5,"[5, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 0]",12556.42107,"[5, 10, 0]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 0]",8162.284747,"[5, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-1445,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 0]",-722.5,"[0, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 5]",1573.523552,54739.67307
8,"[0, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-1445,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",1538.812659,"[5, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 5]",2286.472144,"[5, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",280.9728992,"[5, 5, 5]","[(0, 1), (5, 0), (5, 0)]","[5, 10, 10]",26296.80172,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",13163.15705,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",30605.20956,"[5, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-2167.5,"[5, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 5]",12556.42107,"[5, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 5]",8162.284747,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-1445,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 5]",-722.5,"[0, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-722.5,55614.62242
8,"[0, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-1445,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",1538.812659,"[5, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 10]",2286.472144,"[5, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-2890,"[5, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 0]",11703.40086,"[0, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 10]",13163.15705,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",30605.20956,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-2167.5,"[5, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 10]",12556.42107,"[5, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 10]",8162.284747,"[5, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 15]",-1445,"[5, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 10]",-722.5,"[0, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 5]",-722.5,33396.27652
8,"[0, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",-1445,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",1538.812659,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-2167.5,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-2890,"[5, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[5, 10, 5]",11703.40086,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-1445,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",13496.35478,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-2167.5,"[5, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 15]",12556.42107,"[5, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 15]",8162.284747,"[5, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 20]",-1445,"[5, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 15]",-722.5,"[0, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 10]",-722.5,33396.27652
8,"[0, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-1445,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",5967.625318,"[5, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 20, 10]",2286.472144,"[5, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-2890,"[5, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[5, 0, 10]",11703.40086,"[0, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 10]",13163.15705,"[0, 20, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 10]",30605.20956,"[5, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-2167.5,"[5, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 5, 5]",25835.34215,"[5, 15, 5]","[(5, 0), (0, 1), (0, 1)]","[10, 15, 5]",8162.284747,"[5, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-1445,"[5, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[5, 15, 5]",1573.523552,"[0, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 20, 0]",-722.5,57000.98573
